word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Orucuba,Official meal for Chiefs,Ekihuuro ekiheebwa abanyoro b'Omukama,Mutekanize Orucuba rw'Owisaza naija kubungira,The county chief is coming to visit Prepare for him a meal,Tulemerwe kutekaniza orucuba rw'Omugomborozi obwatubungirege ijo,"Yesterday, we failed to prepare a meal for the subcounty",Mixed,N,CUL
Omuhimbo,Excitment and Happiness,Kugira omuhimbo,Nagira omuhimbo mwingi kukorora,Am extremely excitted to see you,Ntungire omuhimbo mwingi,am extremely excited,Mixed,N,DLY
ibaale,The stone,omwandara,"Wakame kaali kasoro kagezi muno, engo ekaikarra yahanuura barye bazaire baabu, kandi wakame yasaba engo kubanza kurya owawarugo nukwo barayongeraho mwibaale buu","The hare was very clever animal ,the leopard sat with hare and they planed eat their mothers, and the hare requested leopard to first cook his mum then hare will be next. hare's mother taken in the stone",nyina wakame akamara mwibaale obusumi bingi muno.,Hare's mother stayed in the stone for some long time.,Mixed,N,NAR
Omubiro,Days of,Obusumi,Omubiro byaira muno hakaba haroho omusaija aine omukazi nomwana wobwisiki karungu.,Long long days ago there was a man who was having a wife and a child called Karungi.,Omubiro ebi hakaba haroho enjara y'amaani karungi yayekuba kunoga amakerre on the road side.,Those days there was too much hunger Karungi went on the road side to collect some fruits called amakerre.,Mixed,V,NAR
kubiiha,deceiving,kuhyangya,wakame yabihabiha warugo,hare deceives the leopard,omuzaire omukazi nabihabiha omwanawe,the mother deceiving her child,Rutooro,V,NAR
kogya,to wash is the act of cleaning using water and soap to remove dirt.,kikorwa ky'okweza ebintu ekirofu nokozesa amaizi na sabuni.,Nayogya engoye z'abaana.,she is washing the children's clothes.,Nimbaza kwogya ntakabyamire.,I will wash before i go bed.,Mixed,V,DLY
Hatekebweho,Advocate,Ninsaba I lequest,nintekaho emeeza enu hanu.,I advocate this table here.,Ninsaba abeegi kukora omulimo omubwire.,I request students to do the work in time.,Mixed,N,NAR
Ebizina by'ediini,sacred songs/hymns,Ebizina byokukugiza Ruhanga.,Ebizina byediina babizina mukuramya Ruhanga.,Sacred songs are for praising God.,Ebizina by'ediini tibisemeriire kuzinibwa mubaara.,Sacred songs are supposed to sung in bars.,Mixed,N,ART
Akasumi,length of time seasons,"obwiire obumanyirwe mumwaaka ha bwenjura, omusana, omuyagakukonyera abantu kubyara embibo zaabo.",Kumanya obusumi nikikukonyera muno kutekaniza ebibyaarwa/ebirimwa.,Seasons help the farmers to prepare gardens for different crops.,Omulimi asemeriire kumanya obusumi nukwo abyaarre mubwiire.,The farmer should know the seasons in order to plant at the right time.,Mixed,N,ENV
Enkerembe,New born baby before the age of one year old.,Enkerembe yomwana.,"Enkerembe yomwana mwojo, narra.",The baby boy is crying.,Enkerembe neyega kwajura.,The baby is learning how to crawl.,Mixed,N,DLY
Oburungi bwi'raka,Tone Quality.,Kuzina n'iraka eriterekeriire kurungi.,Babaire bazinire kyonka amaraka gaabo tigali marungi,"They had sung well, but the quality of voice lacked.",Oburungi bw'iraka busemeza ekizina,Agood tone makes the music sweet.,Mixed,V,ART
kwegesa,teaching,kwegesa abantu omumulingo gwona,kwegesa abantu kukukozesa amgezi gobuhangwa kuletaho enkurakurakurana,teaching people to us traditional skills for development,kwegesa abaana egenso nungi,teaching children good morrows,Mixed,N,NAR
Ayekamba,Tries,Tries hard,Alengaho kukora namaani.,He/ She tries to work hard.,Ayekamba muno kandi w'amaani.,He/ She tries working hard and is hard working.,Mixed,V,EDU
Omukubi,sauce(is a liquid or semi liquid food),Omukubi gwokulisa ebyokurya.,Nakoza omukubi gwebihimba.,He is eating the bean souce.,Omukubi gunuzire muno.,The souce is very sweet.,Mixed,V,DLY
Emeeza,Dining table,Emeeza yokiriraho,Sembeza ebyokurya hameeza hagati.,Put the food in the of the table.,Ente mukaaga zetoroire emeeza.,There are six chairs around the table.,Mixed,N,DLY
Manyire,I know,Nyetegerize,"''Obwomanya rundi oketegereza ekintu orukukora, kikwanguhira kuteera orutambu.''",''To know or to understand what you do makes it easier to move on.'',''Nkimanyire nuwe ataaha namukonyera.'',''I know she's the one who's been helping him.'',Mixed,V,NAR
Eka,A home,Eka enyakurumu abantu nebintu.,"Enju,nyineka,omukazi,abaana,abanyabuzale,ebintu.","Husband,wife,family members,property.",Eka yowaitu eri tooro(kabarole) nuho nyikara.,"my home is in tooro,(kabarole)its where i stay.",Mixed,N,DLY
obutamanya,Ignorance,obutakenga,obutamanya bukandaza nindubata.,ignorance keeps me working at night,omusaija ogu obutamanya bukamusweza omwana womutaahi.,that man because of ignorance married from same village.,Mixed,V,NAR
bihunzire,adorned,bihunzire nenkwanzi bisemiire mali,isenkati amutekanirize ekiibo kihunzire kurungi mali,the auntie prepared for her well adorned basket.,ebintu ebihunzire bizooka kurungi omumaiso g'abantu,things which are adorned or decorated looks nicely in eyes of people.,Mixed,N,NAR
KAZOOBA,It is an attribute of God meaning God is the Sun Source of everlasting Light.,Ruhanga nuwe Kazooba Nyamutagwa.,"Kazooba Nyamutagwa obwaraaba akyankwatiriire , ninyija kugura Bbasi.",I will buy a Bus if Kazooba upholds my life.,Kazooba Nyamutagwa andinzire hamu nabantu bange boona.,The everlasting Kazooba has kept me safe with my family.,Mixed,N,SPR
Ijooje,Traditional song(sung for the bride a day to her introduction. The girls sing as they come from picking the grass which will serv as a carpet),Ekizina kizinwa abaisiki nibaruga kwiha obunyansi bwokwarra munju habwomukoro gwokuranga obuko.,Abaisiki abaleesire obunyansi bakaija nibateera ijooje.,As they come from picking grass they sang ijooje.,obubamazire kuteera ijooje omugole bamutangira kimu kuruga mukisiika.,After singing ijooje song the bride was not allowed to leave the room.,Mixed,N,ART
Obwomumbaju(waist dance),A dance performed by both men and women with its basic movement in the waist.,amazina gabakazi nabasaija niboleka okworoba kw'embaju zaabo.,Abakazi bakekamba muno kucekeca kukira abasaija.,The ladies tried their level best to be more flexible than men.,Abasaija bakakenyuka mumbaju abantu basiima.,The men displayed their flexibility and people praised them so much.,Mixed,N,ART
Murofu,Dirty,To be dirty.,Omukazi murofu.,The woman is dirty. A dirty woman.,Kibi kuba murofu.,It is bad to be dirty.,Mixed,V,EDU
kurahuka,hurry up,kujwambura,yanguha Amooti bus bagamba ngu yasimbura kuruga bunyangabu etatusiga,Amooti hurry up the bus has already setoff from bunyangabu so that it can not leave us.,mwana wange yanguha ondetere amaizi ebyokura byasiriira,my kid hurry up and bring me water the food is almost burning,Mixed,V,NAR
Abasomesa,Teachers,Abegesa,Babaire basomesa barungi mali.,"They were good teachers,",Omusomesa nuwe mutima gw'Ihanga.,Teachers are the soul of the nation.,Mixed,N,NAR
goma,Drum,"Engoma Kigamba kyokuzina kibaizirwe, kine erika limu bakitera nengaro rundi emizigiso",Engoma egambire kubi abazini ba lemwa,The dancers were not nuthumic due to bad druming,Engoma egambire kubi habwokuba tereegere,The skin of the drum requires stretching to produce a better sound,Mixed,N,ART
Ebitungeezi byamaizi,Stagnant water,amaizi g'ebigaana,Amaizi agakora ekigaana mumusiri gasiisa ebyokurya.,The stagnant water in the garden spoils the crops.,Amaizi gateekere/g'ekigaana ganunka kandi galeeta emibu.,Stagnant water brings bad odor and breeds mosquitoes.,Mixed,N,ENV
Kalipeera,Avocado,ekijuma,Kalipera kijuma kirungi tukirya kandi kirugwamu amagita,Avocado is a good fruit for eating and also for Vaseline.,Emiti ya kalipeera nyingi nezooka kadi ebijuma nibabikozesa mubuli kintu.,Trees for avocado are common .and fruits used in every thing.,Mixed,N,DLY
EMBABZI,Grace,Emababazi,Otugirre EMBABAZI ai Ruhanga.,"Oh God, be gracious to us.",Embabazi za Mukama waitu Yesu Kristo ziba nyingi.,The Grace of our Lord Jesus Christ is Sufficient.,Mixed,N,SPR
kusuura,to visit,kusuuraho omutaahi,kusuuraho omunywani akatunga obuzibi,to visit a friend who got problems,kusuura abahakyaro,to visit village mates,Mixed,V,NAR
Wakame,this is a hare,wakame ey'omukisaka,wakame egira amatu garaihirire kuhurra mahano.,The hare has long ears listening very faster.,wakame egira amagezi maingi muno.,Hare is a very wise animal.,Mixed,N,NAR
Kulera,To nature the children.,Kurolerra abaana/omwana.,omwana mulere kurungi.,nature the child with care.,Lera abaana nobahabura.,Advise the children with love.,Mixed,V,DLY
kwekengera,to be cautious,kwekengera kara ekintu otakatungire ebizibu,okwekengera kara ngu enyuma y'orwigi heserekereyo omusuma okairuka.,to be cautious that behind the door there is a thief and you run away early.,kwekengera omuntu atakuba aine oburwaire burukuturra,to be cautious that you suspect a person to be having a transmitted disease,Mixed,ADJ,NAR
Empangoo,Abig short drum played in the king's palace,Engoma Engufu cerukoto muno erakuteerwe mukikaali,Omukama aigurwire empango rurangi abantu basemererwa,"The king played the Drum well, and the people were happy",Empango tegambire kurungi habwokuba ebaire ehumiikireho,The King's drum sounded badly because it had a hole,Mixed,N,ART
emikubi,Traditional source,omukubi,Emikubi tugira eyembaganiza.,We have different types of source.,Buli gumu gwine emicumbire yagwo.,Every type of source has a way of being prepared.,Mixed,N,CUL
Ejwara,traditional attire/wear,enjwara y'obuhangwa,Abakazi bajwara omulingo gundi.,Women wear differently.,Abasaija tibajwara nk'abakazi.,Men don't wear like women.,Mixed,V,DLY
Enyamusiri,slippery source,omukubi gurukwiragura,Dodo erukuterra nungi egumya amagufa,slippery dodo is good makes bones strong.,Bakira kugirisa oburo.,mostly eats with millet bread.,Mixed,N,CUL
Kipimisa,Weighing scale.,Orupimo rwokupimisa,Nkozeseze ekipimisa kihikire .,I have used a right weighing scale.,Omutunzi weduuka akozeseze ekipimisa kihikire kupima sukaali.,The shopkeeper weighing scale to measure sugar.,Mixed,V,DLY
Ikondere,Royal trumpet( blown in royal ceremonies),ekihulere ekikizirwe omu kisisi bakitera nibahuuha amikoro y'omukama.,Abasaija bonka nibo baterea enkondere.,The royal trumpet is played by men only.,Owaina orwooya rwingi niwe ateera ikondere.,Trumpet blowing requires a lot of breathe.,Rutooro,N,ART
Kulisiza hataito,overgrazing,kuliisa ente nyingi mukasaka kanfunzire,Owisaza akahabura abantu kutungu ente ntaito nimubaliira obunyansi.,The chief advised the community to rare cows in the consideration with the available land.,Irisizo ryowaitu tiharumu bunyansi burukumara habwokuba harumu ente nyingi muno.,Our cows are starving because there is little grass in our farm.,Mixed,V,ENV
Omwisakihika,"Praise to the King, he who gives hope",okuha okunihira,"Omwisakihika, itwe abatungwa baawe nitukusaba otwombekere Irwarro Kyaaka","Omwisakihika[king] we your people, we ask you to build a hospital for us in Kyaaka",Karamaale omwisakihika,"long live, he who gives hope",Mixed,ADJ,CUL
Kunyunka,Mingling,Kutobeza Intermingring,Nyine enju abaire nahotora oburo.,The house wife was mingling millet flour.,Anyunkire oburo nobwegendereza tibwazaara byana.,She mingled the millet flour carefully to avoid leaving in the particles.,Mixed,V,DLY
Kujubura,Rinse,Kweza,Mujubule ebikopo,Rinse the cups,Jubura Esohani ezo,Rinse those plates,Mixed,V,DLY
Amaizi kusaaga mu itaka,water logging,enjura kugwa amaizi gakaijura mwitaka.,Ebihimba byange bitukwire habw'amaizi mw'itaka.,My beans are yellow because of too much water in the soil.,Amaizi gaijwire mu itaka habwokuba omusiri tigurumu mikura.,The soil is water logged because of poor drainage.,Mixed,N,ENV
Orwemo,Dinning room,Ekisika ky`okuliramu,Tugende ha Rwemo,lets go to the dinning room,Nitulira mu rwemo,We eat from the dinning room,Mixed,N,DLY
kwangirra,to refuse,kwanga,kwangirra omuntu,To refuse to someone,kwanga kuhonderera ekirale,Refused to follow the legacy,Mixed,V,NAR
Obusaali,"Small drums in the palace to mix the royal dance drums, played in a set of nine",Ekugoma okugufu okubateera mumakondere babuteere buli mwenda,"Abateezi obusaali mwenda bebabuzire, byabiiha",The rhythm didn't come out well because the drums were less than nine (9),Amaraka go'busaali garugireyo kurungi habwokuba bwoona mwenda bubaireho,The sound of the nine (9) drums ''Obusaali'' balanced the line well because all were available,Rutooro,N,ART
Kwecuma,Being clean,"kuba noyera, kwikara olimuyonjo",Ayecumira eka bulikiro ekaraneyera.,She keeps her home clean o create a healthy environment.,Azinduka nyenkyakara kwecumira ezigati.,He wakes up early to clean the compound.,Mixed,V,DLY
akoraheeka,the luggage will carry,ekyorukugonza,okaraheeka tokaisa rume,"the luggage you will carry, don't wetted it.",orufumo runu nirwegesa omuntu kuha ekitinisa omulimogwe.,this proverb tells how you supposed to respect your work.,Mixed,V,NAR
Emikakaro,Dried Banana,Embiira,Binu ebitooke babihaata babyanikira/ babyengesa.,These are multipurpose types of bananas which can be use and treading juice.,"Emikakaaro bagijojeza, bagyanika bagyahura.","These bananas are fermented, dried and kept.",Mixed,N,CUL
Kugwa,To fall,Kuterebuka,"Kiro kimu nkaba ningendo omurugendo rwahara, natangana omusaija aine ebireju bingi!! ekiro eki nkatiina.","One day, I was going on a long journey and met a man who has a lot of beards!! I was scared",Omusaija ati mwisiki obwire nkabunu nogenda nkaha? habwenkizi nyamwingi nkagwa.,"The man asked me, ''you girl, where are you going at this time? because of shock, I felt down.",Mixed,V,NAR
Orunyege,a leg rattle traditional dance performed on social occasions especially on marriage ceremonies.,amazina genzaarwa agazinwa habiro byokusemererwa kukira muno ha mikoro yokusweera.,Omusaija nasimba kurungi orunyege.,The dancer is varying the dance rhythm well.,orunyege rwogu narusesa kurungi.,The rhythm of his leg rattles is regular and encouraging dancers.,Mixed,V,ART
Embabazi,Kindness,Kugira embabazi,oine mbabazi,You are kind,Agira embabazi nyingi,He is very kind,Mixed,N,DLY
Emyekiiko,terraces,misoliini,Oburo bwe bukatwarwa enjura habwokuba omusiri tigurumu mwekiiko.,The rain washed away the soil because the garden had no terraces.,Emyekiiko erinda kurungi itaka enjura obweegwa.,Terraces protect soil erosion especially during the rainy season.,Mixed,N,ENV
Kuramukya,Greetings(is a polite word expression used to asking about their wealth/general well being),kuramukya noba nokozesa orulimi orwembabazi kukaguza omuntu nokwoku ali mubwomezibwe.,okuramukya kwebambabazi kuletera kumanya ngu omuntu womugaso kandi haroho embabazi nokufayo.,Akind greetings makes one consindered as a valuable person and cared for.,Buli bwadamukya omukazi ogu akaguza kumanya abeeka yange nkoku bali.,"whenever she greets me,she asks about my family members.",Mixed,V,DLY
kutoka,shouting,kuteera obwogo,Engo yatokera haiguru enjara egirumire.,The leopard shouted because it was hungry.,Omusaija yatoka habwokuba abihirwe.,The man shouted because he was annoyed.,Mixed,V,NAR
Mpabire,I have lost,Mbuzire,"Nkabura obunkaba ningenda omwirwarro kurora omunyabuzaale,ekizibu kyali ngu nkaba ntamanyire kusoma ekyapa kasumi ako.","I got lost when i went to the hospital to see my relative, and the problem was not knowing how to read the signpost by that time.",Mbuzire tinyetegerize ebyorukugamba.,"I am lost, I don't understand what you are talking about.",Mixed,V,NAR
Ruhanga,CREATOR,Omuhangi,Ensi enu ekahangwa Ruhanga.,The Earth was created by God.,Ruhanga amanyire byona ebiyahangire.,God knows all what He created.,Mixed,N,SPR
Amalindiro g'ebisoro,National game parks,Ekikaro ekisoroirwemu ihanga kulindiramu ebisoro,Kasese haliyo irindiro ry'ebisoro.,There is a national game park in kasese district.,Amalindiro g'ebisoro galeeta sente mu ihanda.,National game parks boosts national economy.,Mixed,N,ENV
Ebisaaru,rivers,ebicweeka byobuhangwa ebiroho amaizi maingi.,"Ebisaaru bituha amaizi agatunywa, hamu nebisoro.",Rivers provide drinking water for people as well as animals.,"Omubisaaru harugamu, amaani gokuvuga ebyooma byamasanyarazi.",Rivers help to generate hydro power.,Mixed,N,ENV
Omwebembezi,Leader,To guide,Omusaija aba nyineka,The father is the leader of the family.,Omusaija ayebembera eka na mukaziwe.,The father leads with mother.,Mixed,V,EDU
Omujwera,"Title of the Kings wife, Musuuga and Batebe","Ekikubyo kya Omugo,Musuuga na Batebe",Omujwera Omugo w'omukama wa Bunyoro azaarwa Tooro,"Her highness the wife of the King of Bunyoro, she is born in Tooro",Omujwera Musuuga agamibire omukama aramire,"His highness the head of the Royal clan has said, the King is well",Mixed,ADJ,CUL
